Theme	Score	Terms
Extracellular matrix & adhesion	91.50333840440545	17
Hematopoietic & immune commitment	65.80591548907695	17
Stress & cytokine response	44.263620415022494	7
Cell-cycle & Apoptosis	25.703649307950847	4
Metabolic re-wiring	10.094940556005632	4
Neurotrophic Signaling & Growth Factors	8.08863706071403	2
Oxidative stress & redox regulation	6.129620654334767	2
Inflammation & immune signaling	5.822887498917678	2
