Theme	Score	Terms
Neuronal Excitability & Synapse	34.6456888382171	8
Metabolic re-wiring	31.97997238377042	7
Immune-Neuronal Crosstalk	19.133044588387953	3
Cell-cycle & Apoptosis	10.300639130919384	3
Extracellular matrix & adhesion	6.270052934209189	1
Autophagy & Proteostasis	2.884811187487056	1
